,,Column1,Column1,Column1,Column1,Column1,Column1,Column1,Column1
,,count,mean,std,min,25%,50%,75%,max
agency,year,,,,,,,,
강원도,2019.0,40.0,29527.325,13278.961311301846,20.0,30588.0,30965.5,31199.0,61859.0
강원도,2020.0,243.0,35404.82304526749,10099.913767611371,167.0,32058.5,35371.0,38282.0,62015.0
경기도,2019.0,576.0,30101.899305555555,11763.061003738318,0.0,30612.75,30881.5,31204.25,61864.0
경기도,2020.0,27496.0,33514.731742798955,17136.39475776078,166.0,22911.75,36632.5,47343.25,62012.0
경상남도,2019.0,12.0,34187.833333333336,5680.452124024401,30464.0,30671.25,31031.0,38436.75,48594.0
경상남도,2020.0,200.0,34380.815,9550.363152387841,5011.0,32134.0,34962.5,38004.25,61963.0
경상북도,2019.0,23.0,34739.391304347824,12299.030393191499,94.0,30782.5,31002.0,38485.0,61861.0
경상북도,2020.0,165.0,32871.38181818182,11234.081427965315,709.0,32253.0,34227.0,36387.0,61999.0
광주광역시,2019.0,1.0,30531.0,,30531.0,30531.0,30531.0,30531.0,30531.0
광주광역시,2020.0,76.0,37287.86842105263,11375.742219702537,8576.0,34387.0,34697.5,38854.75,62023.0
대구광역시,2019.0,4.0,38356.75,15656.842303499983,30511.0,30520.0,30537.0,38373.75,61842.0
대구광역시,2020.0,9.0,42553.0,11084.155662476056,31256.0,35533.0,37692.0,48275.0,61658.0
대전광역시,2019.0,200.0,30977.905,6160.283442050944,8.0,30354.75,30833.5,31057.5,61865.0
대전광역시,2020.0,177.0,36615.20903954802,8354.282403240846,12469.0,34335.0,35227.0,38181.0,62020.0
부산광역시,2019.0,2.0,39545.5,12793.682992008204,30499.0,35022.25,39545.5,44068.75,48592.0
부산광역시,2020.0,6.0,38465.666666666664,5045.727248540756,34866.0,35524.0,37004.5,38117.5,48400.0
서울특별시,2019.0,1.0,48621.0,,48621.0,48621.0,48621.0,48621.0,48621.0
서울특별시,2020.0,140.0,33023.56428571429,18496.30125584347,1895.0,7452.75,34483.0,40834.25,61974.0
세종특별자치시,2019.0,1.0,30505.0,,30505.0,30505.0,30505.0,30505.0,30505.0
세종특별자치시,2020.0,42.0,34920.02380952381,12819.740744473613,1846.0,31874.75,35365.0,38497.75,62013.0
울산광역시,2019.0,62.0,30739.548387096773,12239.10946572559,42.0,30569.0,30825.5,38272.75,61840.0
울산광역시,2020.0,154.0,35145.9025974026,8310.252876585866,3470.0,34154.75,36044.0,38340.75,62022.0
인천광역시,2019.0,127.0,27051.259842519685,16305.4577566583,6.0,26499.5,30639.0,31152.0,61869.0
인천광역시,2020.0,30842.0,28433.920887102006,18689.404054820818,128.0,13465.25,22761.5,46679.75,61985.0
전라남도,2019.0,16.0,32847.875,12316.289510914668,52.0,30558.75,30923.5,32930.75,61851.0
전라남도,2020.0,153.0,33263.163398692814,11059.59126996344,2234.0,32677.0,35088.0,38013.0,62024.0
전라북도,2019.0,81.0,31013.9012345679,11086.928059211148,71.0,30706.0,31046.0,38276.0,61845.0
전라북도,2020.0,205.0,36137.965853658534,7721.251608119447,7318.0,34359.0,36212.0,38422.0,62019.0
제주특별자치도,2020.0,31.0,35561.74193548387,11343.279872440604,1556.0,33872.0,36837.0,39083.0,62011.0
충청남도,2019.0,9.0,24882.222222222223,14252.94568482054,85.0,30678.0,30891.0,30953.0,38274.0
충청남도,2020.0,65.0,38268.70769230769,9333.315146096062,12472.0,34144.0,35926.0,38630.0,61958.0
충청북도,2019.0,32.0,29842.59375,12935.96912802632,40.0,30586.5,30883.0,38441.75,61862.0
충청북도,2020.0,157.0,34273.331210191085,10872.219959066068,285.0,31581.0,35572.0,38302.0,61983.0
